timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,target x,target y,target z
4695.231,1.134051,-1.777317,1.783381,-1.594842,-1.464703,-0.424019,0.040335,-0.294216,0.105003,0.000804,3.058672,-0.084236,0.11379,-0.848985,-1.442665,-0.421996,0.190941,0.163194,-0.003052668,-0.334620435,0.025
4696.231,1.150523,-1.79941,1.809881,-1.588192,-1.472379,-0.41831,0.04652,-0.28495,0.101728,-0.014614,3.061259,-0.062605,0.097636,-0.748279,-0.932111,-0.437688,-0.111596,0.193215,-0.003052668,-0.334620435,0.025
4697.231,1.154982,-1.870741,1.875461,-1.598112,-1.471376,-0.435236,0.052838,-0.273549,0.099716,-0.048409,3.066587,-0.08571,0.119316,-0.699024,-0.890926,-0.698442,0.148287,-0.174426,-0.003052668,-0.334620435,0.025
4698.231,1.171685,-1.912141,1.915376,-1.605855,-1.474598,-0.439935,0.059157,-0.265851,0.097562,-0.081876,3.07219,-0.096006,0.128677,-0.655679,-0.899191,-0.697992,-0.105739,-0.239855,-0.003052668,-0.334620435,0.025
4699.231,1.132342,-1.880339,1.88801,-1.613485,-1.463877,-0.440154,0.048043,-0.276706,0.099696,-0.022461,3.065402,-0.109276,0.044349,-0.524751,-1.363632,-0.633455,0.097441,0.089592,-0.003052668,-0.334620435,0.025
4700.231,1.13246,-1.880033,1.887667,-1.613683,-1.463827,-0.439748,0.048033,-0.276831,0.09975,-0.022042,3.065427,-0.109607,0.142103,-0.067129,-1.624885,-0.854221,0.233839,0.2799,-0.003052668,-0.334620435,0.025
4701.231,1.179229,-1.766248,1.821435,-1.670875,-1.461144,-0.33573,0.051132,-0.301634,0.097679,0.063744,3.059385,-0.116284,0.046132,-0.500792,-1.491625,-0.719715,0.144986,0.046652,-0.003052668,-0.334620435,0.025
4702.231,1.191785,-1.733797,1.819177,-1.67407,-1.462759,-0.33483,0.054619,-0.300526,0.090205,0.047877,3.052301,-0.075828,0.124558,-0.537949,-1.157263,-0.612641,-0.028741,0.016474,-0.003052668,-0.334620435,0.025
4703.231,1.154296,-1.792705,1.867641,-1.688053,-1.459283,-0.33452,0.046981,-0.296311,0.091928,0.103737,3.056696,-0.114941,-0.107237,-0.779222,-0.873977,-0.673307,0.191536,-0.086981,-0.003052668,-0.334620435,0.025
4704.231,1.153475,-1.802675,1.892481,-1.72601,-1.462759,-0.297299,0.044437,-0.299484,0.09038,0.160254,3.062951,-0.144362,-0.181112,-0.791673,-0.831775,-0.716443,-0.080594,0.192903,-0.003052668,-0.334620435,0.025
4705.231,1.148928,-1.820575,1.893431,-1.717516,-1.456393,-0.288822,0.045368,-0.298948,0.093961,0.179069,3.058085,-0.159394,-0.067136,-0.777475,-1.204731,-0.413181,0.196298,0.152023,-0.003052668,-0.334620435,0.025
4706.231,1.08246,-1.838706,1.914268,-1.715022,-1.409437,-0.320973,0.03984,-0.302166,0.093392,0.226419,3.013494,-0.182923,-0.141727,-0.682722,-1.013827,-0.397092,0.143476,-0.037388,-0.003052668,-0.334620435,0.025
4707.231,1.086558,-1.823623,1.906521,-1.710441,-1.401649,-0.285656,0.04307,-0.303109,0.091964,0.273292,2.996324,-0.166475,0.149665,-0.468502,-1.479496,-0.251859,0.230358,0.265876,-0.003052668,-0.334620435,0.025
4708.231,1.086873,-1.822245,1.905771,-1.709958,-1.400952,-0.282732,0.043345,-0.30319,0.09184,0.2772,2.994792,-0.16494,0.110031,-0.518152,-1.461671,-0.42868,0.187873,0.02628,-0.003052668,-0.334620435,0.025
4709.231,1.07318,-1.825871,1.889692,-1.683715,-1.394642,-0.322949,0.041746,-0.302477,0.095438,0.23788,2.992872,-0.164541,-0.136991,-0.768353,-1.472698,-0.442412,0.22328,-0.069282,-0.003052668,-0.334620435,0.025
4710.231,1.031296,-1.865554,1.896032,-1.642823,-1.371223,-0.374574,0.040144,-0.29768,0.100287,0.222604,2.974469,-0.177724,-0.096974,-0.702385,-0.948018,-0.57633,0.205861,-0.097547,-0.003052668,-0.334620435,0.025
4711.231,0.995867,-1.879601,1.888634,-1.613949,-1.357143,-0.420199,0.035576,-0.296569,0.103882,0.207691,2.964153,-0.186346,-0.125355,-0.710328,-1.47721,-0.395018,0.197813,-0.151222,-0.003052668,-0.334620435,0.025
4712.231,1.035931,-1.882352,1.902916,-1.623585,-1.373674,-0.402469,0.044053,-0.291579,0.100147,0.175892,2.977803,-0.166237,0.137546,-0.7114,-0.883894,-0.674527,-0.039953,0.150943,-0.003052668,-0.334620435,0.025
4713.231,0.982518,-1.920993,1.887343,-1.553087,-1.344055,-0.474453,0.042492,-0.286711,0.108769,0.149705,2.952248,-0.179889,-0.223445,-0.636917,-1.431272,-0.404532,0.128439,-0.093235,-0.003052668,-0.334620435,0.025
4714.231,0.986302,-1.904636,1.877541,-1.56082,-1.346048,-0.457632,0.040928,-0.289707,0.108722,0.168692,2.952336,-0.177317,0.183056,0.250687,-1.717612,-0.970106,-0.059848,0.482155,-0.003052668,-0.334620435,0.025
4715.231,1.001458,-1.836728,1.836461,-1.589611,-1.354437,-0.388435,0.034847,-0.301737,0.107697,0.247953,2.950518,-0.163341,0.142574,-0.49284,-1.453878,-0.583654,0.005819,0.027388,-0.003052668,-0.334620435,0.025
4716.231,0.960445,-1.847571,1.820748,-1.53122,-1.334361,-0.49422,0.033259,-0.296552,0.11114,0.156774,2.932106,-0.156164,-0.132365,-0.743995,-1.489281,-0.387249,0.231994,-0.088046,-0.003052668,-0.334620435,0.025
4717.231,0.963483,-1.805732,1.80546,-1.546031,-1.354536,-0.466657,0.025893,-0.298749,0.106008,0.194806,2.940952,-0.12228,0.131419,-0.434824,-1.340585,-0.66739,-0.014534,0.114666,-0.003052668,-0.334620435,0.025
4718.231,0.952123,-1.829212,1.823495,-1.545007,-1.33513,-0.455876,0.029394,-0.298615,0.107257,0.225859,2.923522,-0.141785,-0.143407,-0.738242,-0.929132,-0.440943,0.253533,0.184926,-0.003052668,-0.334620435,0.025
4719.231,0.95595,-1.787317,1.808421,-1.58826,-1.33197,-0.397923,0.02324,-0.310904,0.105543,0.301656,2.917846,-0.155988,0.156351,-0.441538,-1.541432,-0.644819,0.289433,0.137966,-0.003052668,-0.334620435,0.025
4720.231,0.997879,-1.814914,1.862114,-1.624952,-1.340182,-0.346694,0.036478,-0.305256,0.098804,0.314018,2.924275,-0.150699,0.016174,-0.655043,-0.928864,-0.526729,0.078935,-0.011098,-0.003052668,-0.334620435,0.025
4721.231,0.99816,-1.81584,1.863586,-1.625305,-1.340281,-0.347161,0.036688,-0.304996,0.098609,0.31296,2.924422,-0.150404,0.311046,-1.122651,-0.673655,-0.518186,0.121234,-0.332498,-0.003052668,-0.334620435,0.025
4722.231,1.00949,-1.861076,1.91579,-1.641322,-1.33779,-0.378393,0.044941,-0.297931,0.095067,0.249331,2.932794,-0.166759,0.071522,-0.669607,-1.034263,-0.540099,0.165118,-0.14504,-0.003052668,-0.334620435,0.025
4723.231,1.065788,-1.877384,1.938111,-1.672203,-1.383745,-0.331616,0.048964,-0.291588,0.092276,0.236084,2.981055,-0.160346,0.143894,-0.694753,-0.91975,-0.662849,-0.046079,0.086149,,,
4724.231,1.09844,-1.854146,1.909162,-1.659603,-1.398182,-0.306817,0.053275,-0.291257,0.093842,0.226396,2.990644,-0.136754,0.110973,-0.516868,-1.477656,-0.4036,-0.028179,0.127204,,,
4725.231,1.041039,-1.845061,1.845857,-1.582978,-1.370298,-0.30522,0.045106,-0.294422,0.105398,0.314441,2.951045,-0.127303,-0.106994,-0.478013,-1.511439,-0.332639,0.235396,0.122894,,,
4726.231,1.052228,-1.827672,1.864343,-1.645701,-1.372131,-0.262814,0.042566,-0.30362,0.101219,0.356901,2.954235,-0.156784,0.118073,-0.39519,-0.802602,-0.609128,-0.035549,0.207483,,,
4727.231,1.12232,-1.849762,1.872729,-1.655837,-1.419723,-0.204637,0.05102,-0.295738,0.102775,0.343386,3.002829,-0.154446,0.116342,-0.794281,-1.00558,-0.585517,-0.008426,0.117518,,,
4728.231,1.118455,-1.853876,1.878104,-1.655423,-1.418537,-0.215392,0.050768,-0.294771,0.102102,0.333093,3.00312,-0.153846,-0.436484,-0.914444,-0.728967,-0.335103,0.232705,-0.584341,,,
4729.231,1.100288,-1.87069,1.899847,-1.65291,-1.412794,-0.264766,0.049416,-0.29093,0.099345,0.286473,3.003571,-0.151999,-0.126464,-0.699398,-0.967785,-0.448929,0.1547,-0.057033,,,
4730.231,1.104912,-1.8996,1.913035,-1.638973,-1.406876,-0.262786,0.05493,-0.285934,0.100905,0.281809,2.998745,-0.15668,0.107263,-0.634757,-0.963564,-0.42522,0.141369,0.044175,,,
4731.231,1.130008,-1.911747,1.865149,-1.561159,-1.395536,-0.262969,0.068229,-0.278607,0.11151,0.245161,2.985201,-0.134146,0.15221,-0.665293,-1.495345,-0.433693,0.179827,0.187477,,,
4732.231,1.085014,-1.947464,1.853906,-1.515086,-1.390835,-0.300016,0.060593,-0.274376,0.118676,0.257361,2.983712,-0.146591,-0.126973,-0.580085,-1.441132,-0.588185,0.238869,-0.186675,,,
4733.231,0.955988,-1.951237,1.869033,-1.479297,-1.333273,-0.459228,0.045524,-0.27757,0.114985,0.214974,2.928395,-0.156262,-0.093977,-0.333017,-0.883133,-0.389015,0.218763,-0.223247,,,
4734.231,0.948577,-1.975682,1.892892,-1.463099,-1.353745,-0.505905,0.04435,-0.266497,0.110322,0.160806,2.94537,-0.129173,-0.184432,-0.555461,-0.944595,-0.348789,-0.026126,-0.196239,,,
4735.231,0.94759,-1.979107,1.896215,-1.461035,-1.356549,-0.512079,0.044191,-0.265005,0.109697,0.153557,2.947573,-0.12556,-0.09271,-0.52207,-0.977163,-0.431491,0.012444,-0.077611,,,
4736.231,0.907027,-2.021858,1.902624,-1.411048,-1.329789,-0.552008,0.047692,-0.26001,0.113607,0.156731,2.92082,-0.141218,-0.082543,-0.483211,-1.132611,-0.40216,0.256272,-0.113748,,,
4737.231,0.856804,-2.030799,1.884478,-1.352981,-1.336462,-0.657559,0.040321,-0.252105,0.115804,0.081452,2.918683,-0.123507,-0.14364,-0.470791,-1.462306,-0.332671,-0.024492,-0.130692,,,
4738.231,0.833591,-2.074498,1.922658,-1.344789,-1.347066,-0.720618,0.038983,-0.243223,0.111142,0.023618,2.929925,-0.124135,-0.142907,-0.410828,-0.876153,-0.308827,-0.058146,-0.224098,,,
4739.231,0.833529,-2.063121,1.905654,-1.337601,-1.345694,-0.725658,0.038045,-0.244836,0.113645,0.016644,2.928071,-0.124542,-0.029295,-0.164772,-1.479127,-0.438876,0.211977,-0.188679,,,
4740.231,0.806569,-2.083708,1.900941,-1.302746,-1.34716,-0.78129,0.036466,-0.239659,0.115828,-0.023353,2.926254,-0.125471,-0.180626,-0.391035,-1.429568,-0.328724,-0.07836,-0.22224,,,
4741.231,0.806584,-2.083681,1.900862,-1.30271,-1.347227,-0.781384,0.036451,-0.239651,0.115839,-0.02352,2.926316,-0.125434,-0.123409,-0.368156,-1.385208,-0.465652,0.011139,-0.045386,,,
4742.231,0.817389,-2.058232,1.918078,-1.33084,-1.342992,-0.779441,0.038086,-0.242041,0.109298,-0.034118,2.913001,-0.112043,0.13586,-0.18001,-1.013329,-0.537954,0.244147,-0.010379,,,
4743.231,0.816055,-2.023113,1.856551,-1.288844,-1.341816,-0.75636,0.036494,-0.244045,0.118038,0.004302,2.901495,-0.092829,-0.060457,-0.222214,-1.41458,-0.444696,0.237629,0.13281,,,
4744.231,0.816027,-2.023106,1.856551,-1.288844,-1.341862,-0.756326,0.036479,-0.244037,0.118034,0.004388,2.901525,-0.092776,-0.045996,-0.232085,-1.390125,-0.451774,0.194071,0.05661,,,
